worker_id,platform,avg_daily_income,weekly_deliveries,active_days,rating,income_std,account_age_months,cancel_rate,monthly_income,default_risk
GW00036,Zomato,1116,46,15,3.3,331,7,0.08,16740,1
GW00037,Swiggy,1081,47,22,5.0,374,9,0.17,23782,1
GW00038,Swiggy,726,58,9,4.7,201,16,0.15,6534,0
GW00039,Zomato,336,19,29,3.7,221,30,0.25,9744,1
GW00040,Swiggy,459,52,17,4.0,203,18,0.13,7803,0
GW00041,Swiggy,711,54,28,3.9,376,24,0.17,19908,1
GW00042,Swiggy,330,38,29,4.8,381,14,0.18,9570,1
GW00043,Swiggy,571,51,21,3.8,234,29,0.12,11991,0
GW00044,Zomato,664,55,12,3.3,285,19,0.02,7968,0
GW00045,Swiggy,1100,69,24,3.6,341,6,0.15,26400,1
GW00046,Zomato,439,41,25,3.6,66,5,0.15,10975,1
GW00047,Swiggy,1199,22,26,4.9,257,11,0.02,31174,0
GW00048,Swiggy,1109,40,14,4.9,323,7,0.15,15526,0
GW00049,Swiggy,482,69,25,3.7,145,10,0.16,12050,1
GW00050,Swiggy,641,13,19,3.2,371,18,0.05,12179,1
GW00051,Zomato,1187,61,22,4.1,162,33,0.05,26114,0
GW00052,Zomato,418,58,21,4.6,187,15,0.28,8778,1
GW00053,Zomato,692,27,17,3.7,344,11,0.07,11764,1
GW00054,Zomato,1012,20,24,4.0,447,18,0.1,24288,0
GW00055,Zomato,417,51,8,3.5,421,29,0.1,3336,1
GW00056,Zomato,480,62,11,3.8,224,3,0.2,5280,1
GW00057,Swiggy,399,27,16,4.6,187,30,0.2,6384,1
GW00058,Swiggy,913,60,11,4.0,360,13,0.27,10043,1
GW00059,Swiggy,799,50,26,4.0,269,26,0.13,20774,0
GW00060,Swiggy,635,46,12,4.6,201,19,0.24,7620,0
GW00061,Swiggy,630,42,25,4.6,175,11,0.12,15750,0
GW00062,Swiggy,1058,46,22,3.5,295,5,0.08,23276,0
GW00063,Zomato,524,12,27,3.9,89,25,0.27,14148,1
GW00064,Swiggy,866,10,15,4.7,240,29,0.15,12990,0
GW00065,Swiggy,1147,28,9,4.0,211,22,0.12,10323,0
GW00066,Swiggy,1109,68,20,4.4,173,25,0.27,22180,0
GW00067,Swiggy,1113,15,20,3.8,226,32,0.28,22260,1
GW00068,Zomato,311,19,21,3.3,368,35,0.14,6531,1
GW00069,Swiggy,716,46,22,3.5,410,17,0.02,15752,1
GW00070,Zomato,777,21,28,3.9,314,26,0.02,21756,1
GW00071,Zomato,1111,53,19,3.8,224,3,0.19,21109,1
GW00072,Swiggy,399,26,12,4.8,270,33,0.26,4788,1
GW00073,Swiggy,391,36,10,4.2,222,31,0.26,3910,1
GW00074,Zomato,365,11,25,4.3,282,7,0.27,9125,1
GW00075,Zomato,1073,62,10,4.4,186,20,0.24,10730,0
GW00076,Zomato,314,34,21,4.2,282,19,0.26,6594,1
GW00077,Zomato,678,68,9,4.6,288,5,0.25,6102,0
GW00078,Swiggy,559,55,25,4.6,188,32,0.25,13975,0
GW00079,Swiggy,955,53,20,3.8,134,17,0.1,19100,0
GW00080,Swiggy,1103,37,9,3.4,418,8,0.12,9927,1
GW00081,Zomato,679,54,19,5.0,73,35,0.1,12901,0
GW00082,Zomato,410,46,9,4.4,306,6,0.05,3690,1
GW00083,Swiggy,555,46,15,4.5,276,4,0.11,8325,0
GW00084,Swiggy,610,26,12,4.6,366,34,0.27,7320,1
GW00085,Swiggy,527,14,18,4.3,390,1,0.29,9486,1
GW00086,Swiggy,545,65,20,4.0,288,28,0.05,10900,0
GW00087,Zomato,800,66,28,5.0,326,27,0.2,22400,1
GW00088,Zomato,1122,67,24,4.5,309,21,0.29,26928,1
GW00089,Zomato,418,28,23,4.7,274,25,0.07,9614,0
GW00090,Swiggy,708,13,26,4.0,149,24,0.25,18408,0
GW00091,Swiggy,829,48,22,4.8,107,28,0.1,18238,0
GW00092,Zomato,256,64,25,4.5,270,2,0.13,6400,0
GW00093,Zomato,846,58,13,4.5,294,7,0.28,10998,0
GW00094,Zomato,960,52,11,3.4,440,11,0.03,10560,1
GW00095,Zomato,381,47,11,4.3,434,30,0.14,4191,1
GW00096,Swiggy,837,54,20,3.8,126,19,0.16,16740,1
GW00097,Swiggy,1011,53,16,4.4,267,6,0.27,16176,0
GW00098,Swiggy,596,39,17,4.2,253,16,0.18,10132,0
GW00099,Swiggy,970,41,21,3.4,428,19,0.28,20370,1
GW00100,Swiggy,845,66,15,4.2,185,26,0.1,12675,0
GW00101,Swiggy,984,46,10,4.0,166,15,0.15,9840,0
GW00102,Zomato,502,65,16,4.6,109,34,0.02,8032,0
GW00103,Swiggy,659,36,8,4.1,303,14,0.3,5272,1
GW00104,Swiggy,792,41,22,4.1,391,5,0.08,17424,0
GW00105,Zomato,604,51,22,4.5,419,20,0.28,13288,1
GW00106,Swiggy,962,20,14,4.4,58,12,0.13,13468,0
GW00107,Swiggy,813,50,22,5.0,122,7,0.06,17886,0
GW00108,Zomato,617,67,14,3.8,433,34,0.13,8638,1
GW00109,Swiggy,833,67,20,4.4,387,32,0.1,16660,0
GW00110,Swiggy,760,22,19,3.5,66,9,0.29,14440,1
GW00111,Swiggy,782,44,25,4.6,56,9,0.23,19550,0
GW00112,Swiggy,777,26,14,4.6,152,19,0.07,10878,0
GW00113,Zomato,1196,39,14,4.5,356,12,0.17,16744,1
GW00114,Zomato,777,27,22,3.4,449,8,0.2,17094,1
GW00115,Zomato,651,46,16,5.0,397,12,0.18,10416,1
GW00116,Zomato,424,57,13,4.9,330,16,0.28,5512,1
GW00117,Zomato,1073,39,16,3.9,327,3,0.04,17168,1
GW00118,Swiggy,1173,35,26,4.2,339,8,0.02,30498,0
GW00119,Zomato,1099,64,27,4.8,448,11,0.19,29673,1
GW00120,Swiggy,327,25,23,4.1,321,18,0.23,7521,1
GW00121,Zomato,689,20,23,4.3,321,10,0.24,15847,1
GW00122,Zomato,1001,63,8,4.3,343,33,0.07,8008,0
GW00123,Swiggy,798,13,20,4.4,391,15,0.07,15960,0
GW00124,Swiggy,481,50,26,4.2,398,23,0.25,12506,1
GW00125,Swiggy,649,24,11,3.9,209,12,0.11,7139,0
GW00126,Swiggy,462,21,26,4.2,137,28,0.2,12012,1
GW00127,Zomato,442,36,29,4.8,410,3,0.05,12818,1
GW00128,Zomato,821,57,17,4.8,355,1,0.24,13957,1
GW00129,Swiggy,950,13,20,4.6,234,35,0.29,19000,0
GW00130,Swiggy,516,44,8,3.9,87,1,0.29,4128,1
GW00131,Swiggy,375,68,20,4.6,72,30,0.16,7500,1
GW00132,Swiggy,964,30,17,3.9,138,30,0.08,16388,0
GW00133,Swiggy,1083,45,22,4.4,85,10,0.05,23826,0
GW00134,Swiggy,631,11,22,4.2,147,14,0.08,13882,0
GW00135,Zomato,793,60,14,3.7,446,24,0.19,11102,1
GW00136,Swiggy,751,48,21,4.0,402,20,0.14,15771,0
GW00137,Swiggy,652,37,15,4.7,154,20,0.15,9780,0
GW00138,Zomato,1073,43,26,4.8,415,33,0.15,27898,0
GW00139,Swiggy,510,42,25,3.6,437,12,0.24,12750,1
GW00140,Zomato,636,59,22,4.0,166,5,0.25,13992,0
GW00141,Zomato,661,69,16,4.0,341,23,0.01,10576,0
GW00142,Swiggy,595,17,19,4.1,261,16,0.28,11305,0
GW00143,Swiggy,343,17,28,5.0,431,27,0.12,9604,1
GW00144,Swiggy,577,69,29,4.1,359,9,0.08,16733,0
GW00145,Swiggy,349,51,21,4.7,128,14,0.3,7329,1
GW00146,Swiggy,1046,59,9,4.4,109,29,0.05,9414,0
GW00147,Zomato,710,31,12,3.4,191,14,0.1,8520,0
GW00148,Swiggy,564,36,29,4.5,432,31,0.27,16356,1
GW00149,Swiggy,274,37,12,4.4,109,7,0.15,3288,0
GW00150,Swiggy,1167,20,21,4.6,365,9,0.28,24507,1
GW00151,Zomato,743,36,11,3.3,71,14,0.08,8173,0
GW00152,Swiggy,602,64,9,3.6,114,19,0.13,5418,0
GW00153,Swiggy,1118,10,8,4.6,424,34,0.02,8944,0
GW00154,Swiggy,366,48,9,3.9,416,10,0.14,3294,1
GW00155,Zomato,448,37,20,4.8,242,16,0.01,8960,0
GW00156,Swiggy,528,36,27,4.1,151,23,0.1,14256,0
GW00157,Zomato,831,17,24,3.2,265,31,0.22,19944,1
GW00158,Zomato,1096,66,20,4.5,280,2,0.22,21920,0
GW00159,Swiggy,328,55,24,4.1,174,22,0.13,7872,0
GW00160,Zomato,673,33,12,3.8,391,4,0.01,8076,1
GW00161,Swiggy,603,60,15,3.2,53,33,0.05,9045,0
GW00162,Zomato,775,49,29,3.6,419,22,0.08,22475,1
GW00163,Zomato,790,60,29,3.5,266,31,0.01,22910,0
GW00164,Swiggy,905,63,19,4.2,256,12,0.07,17195,0
GW00165,Swiggy,726,45,16,4.6,153,33,0.16,11616,0
GW00166,Zomato,1104,64,25,3.6,312,20,0.05,27600,1
GW00167,Swiggy,259,33,23,4.5,204,9,0.26,5957,1
GW00168,Swiggy,808,51,26,4.8,268,23,0.03,21008,0
GW00169,Swiggy,752,31,29,4.3,404,33,0.24,21808,1
GW00170,Zomato,509,19,15,4.6,238,19,0.14,7635,0
GW00171,Zomato,773,13,14,3.6,407,33,0.19,10822,1
GW00172,Swiggy,1059,17,28,3.3,271,5,0.15,29652,0
GW00173,Swiggy,987,48,16,3.9,216,21,0.13,15792,0
GW00174,Swiggy,1021,67,29,4.5,398,32,0.21,29609,1
GW00175,Zomato,845,24,19,4.4,303,19,0.08,16055,0
GW00176,Swiggy,1109,17,21,4.9,310,22,0.15,23289,0
GW00177,Zomato,1109,38,17,4.3,387,18,0.24,18853,1
GW00178,Swiggy,255,51,23,3.9,139,25,0.05,5865,1
GW00179,Zomato,1159,48,9,4.6,360,16,0.04,10431,0
GW00180,Swiggy,1008,60,13,3.5,300,26,0.19,13104,1
GW00181,Swiggy,284,44,18,4.7,307,13,0.29,5112,1
GW00182,Swiggy,424,50,11,3.9,400,32,0.13,4664,1
GW00183,Zomato,691,57,12,3.5,302,3,0.25,8292,1
GW00184,Zomato,826,23,12,3.5,138,19,0.15,9912,0
GW00185,Swiggy,396,41,24,5.0,209,14,0.08,9504,0
GW00186,Zomato,818,16,12,4.3,327,21,0.15,9816,0
GW00187,Zomato,442,53,18,3.5,229,32,0.14,7956,1
GW00188,Zomato,262,42,16,3.7,251,24,0.08,4192,1
GW00189,Swiggy,1153,57,22,3.9,253,16,0.11,25366,0
GW00190,Swiggy,779,44,10,3.3,70,8,0.12,7790,0
GW00191,Swiggy,495,36,23,3.4,239,29,0.26,11385,1
GW00192,Zomato,924,10,16,4.6,64,5,0.1,14784,0
GW00193,Zomato,1104,15,13,4.6,60,14,0.28,14352,0
GW00194,Zomato,363,11,16,5.0,95,24,0.01,5808,0
GW00195,Swiggy,1043,16,29,3.3,120,10,0.05,30247,0
GW00196,Swiggy,482,17,26,4.8,432,5,0.02,12532,1
GW00197,Zomato,927,54,13,3.8,447,11,0.23,12051,1
GW00198,Zomato,571,38,18,3.8,299,33,0.05,10278,0
GW00199,Zomato,787,25,9,3.4,89,29,0.18,7083,1
GW00200,Zomato,375,38,25,5.0,287,34,0.24,9375,1
GW00201,Zomato,562,40,14,5.0,424,2,0.15,7868,0
GW00202,Swiggy,760,31,28,4.8,375,24,0.04,21280,0
GW00203,Swiggy,733,62,11,3.4,95,21,0.25,8063,1
GW00204,Zomato,530,19,14,4.7,121,8,0.07,7420,0
GW00205,Zomato,1047,13,24,4.3,341,10,0.04,25128,0
GW00206,Swiggy,1152,34,11,3.4,361,11,0.23,12672,1
GW00207,Swiggy,532,65,20,3.7,189,14,0.02,10640,0
GW00208,Zomato,900,62,27,4.4,126,5,0.19,24300,0
GW00209,Swiggy,862,22,26,4.6,324,25,0.13,22412,0
GW00210,Swiggy,641,26,11,4.7,199,26,0.14,7051,0
GW00211,Swiggy,772,49,20,4.2,61,34,0.24,15440,0
GW00212,Zomato,631,17,8,4.2,337,30,0.02,5048,0
GW00213,Zomato,465,32,9,4.4,87,17,0.23,4185,1
GW00214,Swiggy,791,16,14,4.6,87,33,0.21,11074,0
GW00215,Zomato,855,41,24,3.5,258,31,0.27,20520,1
GW00216,Swiggy,365,33,14,4.5,385,18,0.18,5110,1
GW00217,Swiggy,758,10,29,3.8,61,12,0.06,21982,0
GW00218,Zomato,749,56,20,3.9,406,6,0.02,14980,1
GW00219,Zomato,520,56,24,3.3,95,11,0.14,12480,0
GW00220,Zomato,689,69,8,4.3,385,26,0.22,5512,1
GW00221,Zomato,540,60,9,3.4,118,8,0.02,4860,0
GW00222,Zomato,288,45,13,4.8,120,32,0.08,3744,0
GW00223,Swiggy,273,36,19,4.3,298,23,0.23,5187,1
GW00224,Swiggy,1025,15,20,5.0,268,5,0.08,20500,0
GW00225,Swiggy,292,51,27,3.6,331,30,0.12,7884,1
GW00226,Swiggy,419,40,27,4.4,126,4,0.23,11313,1
GW00227,Zomato,589,21,29,4.9,276,6,0.13,17081,0
GW00228,Swiggy,418,35,16,3.7,95,22,0.23,6688,1
GW00229,Zomato,1064,34,24,3.4,431,26,0.09,25536,1
GW00230,Zomato,787,13,25,4.3,440,29,0.29,19675,1
GW00231,Zomato,941,15,15,3.9,155,29,0.04,14115,0
GW00232,Swiggy,721,66,15,3.7,113,5,0.23,10815,1
GW00233,Zomato,911,55,18,5.0,168,19,0.03,16398,0
GW00234,Swiggy,894,22,29,4.6,414,3,0.26,25926,1
GW00235,Swiggy,392,34,29,4.1,174,14,0.05,11368,0
GW00236,Zomato,925,40,15,3.3,424,23,0.18,13875,1
GW00237,Swiggy,350,31,25,3.5,299,27,0.11,8750,1
GW00238,Swiggy,824,62,25,3.7,102,13,0.19,20600,1
GW00239,Zomato,854,44,20,4.1,191,22,0.02,17080,0
GW00240,Swiggy,968,30,8,4.1,86,11,0.27,7744,0
GW00241,Zomato,724,24,22,3.2,62,15,0.22,15928,1
GW00242,Zomato,1194,12,29,4.9,121,29,0.11,34626,0
GW00243,Zomato,560,46,13,4.2,357,15,0.15,7280,0
GW00244,Swiggy,833,54,13,3.2,210,25,0.19,10829,1
GW00245,Swiggy,309,35,20,4.5,406,21,0.19,6180,1
GW00246,Zomato,278,67,9,3.3,373,9,0.2,2502,1
GW00247,Swiggy,780,56,26,4.5,434,25,0.05,20280,0
GW00248,Zomato,322,26,24,4.5,260,28,0.24,7728,1
GW00249,Zomato,643,47,8,5.0,238,23,0.14,5144,0
GW00250,Zomato,1118,64,21,3.8,231,29,0.24,23478,1
GW00251,Swiggy,643,59,23,3.5,295,30,0.28,14789,1
GW00252,Swiggy,1007,44,22,3.4,416,25,0.04,22154,1
GW00253,Zomato,730,67,16,3.3,380,20,0.11,11680,1
GW00254,Swiggy,722,50,26,4.7,263,35,0.16,18772,0
GW00255,Swiggy,562,17,15,4.5,214,1,0.05,8430,0
GW00256,Zomato,687,61,22,5.0,244,24,0.09,15114,0
GW00257,Zomato,573,20,17,3.8,130,29,0.02,9741,0
GW00258,Zomato,336,69,9,4.6,289,25,0.21,3024,1
GW00259,Zomato,608,33,25,3.4,345,19,0.15,15200,1
GW00260,Swiggy,944,52,27,4.8,84,19,0.02,25488,0
GW00261,Zomato,446,17,9,3.3,285,33,0.1,4014,1
GW00262,Zomato,1005,63,28,4.6,384,23,0.13,28140,0
GW00263,Swiggy,1089,39,19,3.8,252,35,0.11,20691,0
GW00264,Swiggy,634,10,17,3.5,190,28,0.02,10778,0
GW00265,Zomato,367,43,19,4.5,139,3,0.09,6973,0
GW00266,Zomato,747,29,14,4.8,200,12,0.03,10458,0
GW00267,Zomato,1157,45,9,4.6,318,8,0.01,10413,0
GW00268,Zomato,1180,43,8,3.8,97,34,0.11,9440,0
GW00269,Swiggy,1133,66,9,3.8,99,6,0.12,10197,0
GW00270,Swiggy,711,43,28,3.5,158,2,0.28,19908,1
GW00271,Zomato,745,22,24,4.7,127,21,0.05,17880,0
GW00272,Zomato,843,63,27,3.4,101,11,0.21,22761,1
GW00273,Zomato,496,62,15,4.8,403,33,0.09,7440,1
GW00274,Zomato,483,61,28,4.3,421,13,0.15,13524,1
GW00275,Swiggy,666,15,19,4.3,281,15,0.13,12654,0
GW00276,Swiggy,716,45,9,4.7,398,12,0.15,6444,0
GW00277,Zomato,731,34,16,4.4,269,23,0.23,11696,0
GW00278,Zomato,614,36,24,3.7,76,18,0.02,14736,0
GW00279,Zomato,402,67,24,3.8,215,25,0.11,9648,1
GW00280,Zomato,521,56,17,3.5,126,29,0.11,8857,0
GW00281,Zomato,641,64,20,4.0,372,20,0.04,12820,0
GW00282,Swiggy,796,40,12,3.4,152,19,0.01,9552,0
GW00283,Swiggy,974,12,21,4.4,407,14,0.22,20454,1
GW00284,Swiggy,972,37,21,3.5,246,34,0.27,20412,1
GW00285,Zomato,679,67,22,4.8,364,30,0.1,14938,0
GW00286,Swiggy,900,13,29,4.5,385,10,0.2,26100,1
GW00287,Swiggy,438,26,12,4.8,208,8,0.3,5256,1
GW00288,Swiggy,1061,47,29,3.4,135,2,0.06,30769,0
GW00289,Swiggy,1156,43,13,4.6,436,22,0.09,15028,0
GW00290,Zomato,501,29,16,4.8,374,24,0.25,8016,1
GW00291,Swiggy,644,22,16,3.3,244,6,0.01,10304,0
GW00292,Swiggy,911,56,28,5.0,384,5,0.18,25508,1
GW00293,Zomato,1102,14,11,3.7,275,30,0.15,12122,0
GW00294,Swiggy,468,69,8,3.6,320,30,0.22,3744,1
GW00295,Swiggy,843,33,29,3.9,204,32,0.16,24447,1
GW00296,Swiggy,439,60,22,3.2,126,3,0.16,9658,1
GW00297,Zomato,483,47,21,4.8,195,12,0.22,10143,1
GW00298,Swiggy,937,26,8,3.7,59,26,0.17,7496,1
GW00299,Zomato,481,66,13,4.1,209,12,0.3,6253,1
GW00300,Swiggy,607,40,15,4.3,177,34,0.21,9105,0
GW00301,Swiggy,727,37,10,4.6,207,9,0.24,7270,0
GW00302,Swiggy,824,10,24,3.7,272,8,0.13,19776,0
GW00303,Swiggy,1196,11,27,4.5,362,22,0.29,32292,1
GW00304,Zomato,678,42,12,3.4,223,9,0.14,8136,0
GW00305,Zomato,486,49,25,4.5,52,24,0.11,12150,0
GW00306,Zomato,282,38,14,4.9,368,12,0.28,3948,1
GW00307,Swiggy,462,13,24,3.4,118,12,0.12,11088,1
GW00308,Swiggy,821,27,22,3.4,147,18,0.12,18062,0
GW00309,Zomato,628,64,27,4.2,430,17,0.17,16956,1
GW00310,Swiggy,251,33,23,3.3,360,31,0.26,5773,1
GW00311,Swiggy,1158,41,20,3.5,107,9,0.11,23160,0
GW00312,Swiggy,699,18,14,3.5,111,32,0.25,9786,1
GW00313,Swiggy,818,56,22,4.1,56,19,0.06,17996,0
GW00314,Zomato,676,25,12,3.6,256,3,0.06,8112,0
GW00315,Zomato,1062,30,19,4.1,324,24,0.14,20178,0
GW00316,Zomato,1048,39,17,4.1,423,26,0.09,17816,0
GW00317,Swiggy,899,12,26,4.5,324,20,0.15,23374,0
GW00318,Swiggy,528,42,17,4.9,130,14,0.01,8976,0
GW00319,Swiggy,463,40,14,4.1,281,32,0.09,6482,0
GW00320,Swiggy,1000,65,29,3.8,234,8,0.28,29000,1
GW00321,Swiggy,534,54,22,3.7,156,11,0.26,11748,1
GW00322,Zomato,792,23,16,4.3,306,6,0.02,12672,0
GW00323,Zomato,967,15,13,4.9,387,32,0.24,12571,1
GW00324,Swiggy,523,14,28,4.6,329,33,0.14,14644,0
GW00325,Zomato,260,38,18,3.6,207,17,0.25,4680,1
GW00326,Zomato,1120,64,13,4.8,239,34,0.09,14560,0
GW00327,Zomato,296,46,27,4.5,332,35,0.17,7992,1
GW00328,Zomato,764,68,22,3.4,372,22,0.3,16808,1
GW00329,Swiggy,891,45,20,4.5,166,2,0.1,17820,0
GW00330,Swiggy,687,30,13,3.7,257,32,0.27,8931,1
GW00331,Swiggy,833,21,27,4.1,53,23,0.26,22491,0
GW00332,Zomato,920,55,28,3.7,234,13,0.05,25760,0
GW00333,Swiggy,1153,68,22,3.4,433,28,0.08,25366,1
GW00334,Swiggy,676,32,13,4.6,434,16,0.05,8788,0
GW00335,Swiggy,681,23,23,4.7,274,13,0.09,15663,0
GW00336,Swiggy,379,52,8,3.6,93,24,0.16,3032,1
GW00337,Zomato,271,63,13,3.6,158,4,0.28,3523,1
GW00338,Zomato,1141,51,23,4.0,395,32,0.13,26243,0
GW00339,Swiggy,638,19,29,4.7,408,26,0.3,18502,1
GW00340,Swiggy,384,69,8,3.3,244,15,0.13,3072,1
GW00341,Swiggy,781,36,14,4.7,53,16,0.18,10934,0
GW00342,Swiggy,469,50,17,4.9,182,1,0.29,7973,1
GW00343,Swiggy,582,67,28,4.2,430,28,0.18,16296,1
GW00344,Swiggy,379,11,15,3.3,270,17,0.12,5685,1
GW00345,Swiggy,281,23,28,3.7,357,16,0.16,7868,1
GW00346,Zomato,851,16,12,3.4,60,31,0.17,10212,1
GW00347,Zomato,1020,26,25,3.7,180,16,0.04,25500,0
GW00348,Swiggy,674,65,11,4.7,323,4,0.13,7414,0
GW00349,Swiggy,547,29,27,3.3,335,24,0.16,14769,1
GW00350,Zomato,753,17,23,3.7,223,27,0.24,17319,1
GW00351,Swiggy,1094,65,17,4.1,271,35,0.01,18598,0
GW00352,Zomato,1010,29,23,4.8,143,34,0.25,23230,0
GW00353,Zomato,934,45,15,3.6,194,21,0.09,14010,0
GW00354,Swiggy,606,14,26,4.6,216,13,0.22,15756,0
GW00355,Swiggy,704,22,8,4.3,129,9,0.23,5632,0
GW00356,Zomato,650,48,16,4.4,338,7,0.26,10400,1
GW00357,Swiggy,1145,47,13,4.8,416,29,0.29,14885,1
GW00358,Zomato,808,26,20,3.2,115,23,0.27,16160,1
GW00359,Zomato,958,15,20,4.2,182,18,0.19,19160,0
GW00360,Zomato,1169,28,25,4.5,213,24,0.22,29225,0
GW00361,Swiggy,704,34,21,4.8,308,5,0.21,14784,1
GW00362,Zomato,1140,12,9,3.4,409,24,0.16,10260,1
GW00363,Swiggy,283,50,23,3.8,209,21,0.23,6509,1
GW00364,Swiggy,1015,62,24,3.3,191,29,0.14,24360,0
GW00365,Zomato,497,37,29,4.7,427,33,0.25,14413,1
GW00366,Swiggy,1195,35,23,4.7,296,10,0.23,27485,0
GW00367,Zomato,291,56,21,4.1,182,21,0.15,6111,0
GW00368,Zomato,1050,17,20,3.2,223,18,0.16,21000,1
GW00369,Swiggy,372,66,23,3.4,233,30,0.2,8556,1
GW00370,Swiggy,276,66,8,4.3,365,33,0.11,2208,1
GW00371,Swiggy,711,64,24,5.0,132,13,0.17,17064,0
GW00372,Swiggy,820,67,8,4.7,124,5,0.27,6560,0
GW00373,Swiggy,396,24,17,4.6,312,6,0.1,6732,1
GW00374,Zomato,745,10,12,4.0,446,20,0.21,8940,1
GW00375,Swiggy,876,49,14,5.0,164,12,0.02,12264,0
GW00376,Swiggy,735,32,11,4.7,202,12,0.05,8085,0
GW00377,Zomato,709,45,8,3.8,161,13,0.27,5672,1
GW00378,Swiggy,1148,63,8,4.5,189,5,0.27,9184,0
GW00379,Zomato,960,51,17,4.0,80,20,0.17,16320,0
GW00380,Swiggy,377,25,10,4.4,269,30,0.18,3770,1
GW00381,Swiggy,625,59,12,4.9,320,17,0.13,7500,0
GW00382,Zomato,914,13,20,3.6,146,21,0.18,18280,1
GW00383,Zomato,1130,17,28,4.6,60,4,0.26,31640,0
GW00384,Zomato,1032,45,16,4.3,152,22,0.05,16512,0
GW00385,Zomato,1100,19,15,4.9,314,7,0.16,16500,1
GW00386,Zomato,332,61,18,3.4,101,27,0.26,5976,1
GW00387,Swiggy,784,39,21,4.5,218,14,0.03,16464,0
GW00388,Swiggy,772,45,15,3.3,189,15,0.07,11580,0
GW00389,Zomato,948,25,28,3.6,132,19,0.16,26544,1
GW00390,Zomato,877,39,17,3.8,317,18,0.19,14909,1
GW00391,Zomato,923,53,10,4.0,393,33,0.22,9230,1
GW00392,Swiggy,352,19,11,4.9,122,9,0.06,3872,0
GW00393,Swiggy,1004,66,19,3.3,189,16,0.18,19076,1
GW00394,Zomato,768,20,16,3.5,158,20,0.11,12288,0
GW00395,Swiggy,611,43,18,3.6,86,23,0.1,10998,0
GW00396,Zomato,933,25,18,4.0,182,6,0.03,16794,0
GW00397,Zomato,505,64,23,3.3,58,12,0.05,11615,0
GW00398,Swiggy,496,28,20,4.9,234,22,0.24,9920,1
GW00399,Zomato,441,53,21,4.2,292,16,0.14,9261,0
GW00400,Zomato,875,13,14,4.7,197,24,0.23,12250,0
GW00401,Swiggy,784,58,19,4.6,119,24,0.25,14896,0
GW00402,Zomato,1119,53,26,4.4,281,10,0.24,29094,0
GW00403,Swiggy,563,40,15,4.8,419,30,0.29,8445,1
GW00404,Zomato,525,57,11,4.8,431,13,0.09,5775,0
GW00405,Swiggy,1172,44,29,3.4,446,10,0.03,33988,1
GW00406,Zomato,622,43,24,4.8,385,26,0.16,14928,1
GW00407,Swiggy,693,35,9,4.1,182,5,0.29,6237,0
GW00408,Swiggy,897,48,29,3.7,167,19,0.07,26013,0
GW00409,Zomato,1118,15,20,4.3,220,17,0.17,22360,0
GW00410,Swiggy,444,42,28,3.7,386,1,0.13,12432,1
GW00411,Swiggy,507,56,14,4.1,231,32,0.19,7098,0
